rating,ulasan,label
5/5,"Dimulai dari check in : jadi klo dari Jalan Malioboro, agak masuk sedikit sekitar 20-30 meter, baru sampe ke entrance hotelnya yang langsung berupa lift (lantai 1), lalu naik ke lantai 8 dimana resepsionis berada. Untuk waktu check in, di sini mulai jam 15.00, jadi silahkan menyesuaikan waktunya, lumayan juga nunggunya karena klo yang terbiasa dengan hotel pada umumnya itu waktu check in di jam 14.00. Syukur² klo bisa check in sebelum jam segitu. Kemaren lumayan banyak tamu yang datengnya kecepetan karena kurang informasi sebelumnya. Untuk resepsionis nya semua ramah² dan pelayanannya baik. Ohya, ada deposit 200 ribu ya di sini.Untuk ruangan di seluruh bangunan hotel, tunnel menuju kamar & kamar nya itu sendiri harum sekali, jadi bawaannya tenang & relax, oke banget ini 👍🏻😍Untuk ruangan tipe deluxe balcony, lumayan luas, balcony nya juga cukup spacenya, ada 2 kursi & 1 meja di balcony nya.Untuk ruang kamar beserta peralatan/perlengkapan di dalam kamar, kondisi sangat baik, penerangannya juga sangat baik. Untuk tipe room ini terdapat mini bar yang berisi snack & minuman ringan sebagai compliment.Untuk bathroom, kondisi juga sangat baik & bersih. Mungkin yang kurang (bagi saya) terkait selang/keran, baik itu untuk kloset maupun shower, selain memang prefer yang menggunakan selang klo untuk kloset, keran/selang di shower juga penting untuk ambil air wudhu (bagi muslim). Sebenernya saya lihat banyak review dari tamu pada tahun² sebelumnya yang mengeluhkan hal yang sama, tapi sampe saat ini belum/memang tidak akan ditindaklanjuti. Balik lagi ke Manajemen hotelnya ya. Karena hal² yang keliatannya sepele ini bisa jadi faktor juga buat tamu menentukan pilihan hotelnya, termasuk saya sebenernya, hehe..Untuk housekeeping hotelnya juga mungkin perlu improve ya, terutama terkait makeup room, karena beberapa kali di atas jam 15.00 tapi kamar belum dibersihkan. Pernah juga kotak sampah tidak dibuang sampahnya.Untuk sarapan, sangat bervariasi, dan untuk rasanya enak², mulai dari menu nasi & menu utama lainnya, buah²an, omelet, pastry, sampe es krim pun ada, dan yang gak ketinggalan selalu ada menu gudeg & pelengkapnya, dan rasanya itu enakkkkk, manisnya pas, gurih & pedesnya dapet juga, mantappp 😍Untuk lokasi hotel, bener² di jantung Jalan Malioboro, udah paling oke lah klo ini sih. Tapiiii ada minusnya 😅 karena jam 18.00-21.00 kan Malioboro ditutup sementara aksesnya untuk motor & mobil, jadi agak effort klo mau keluar-masuk pake kendaraan khususnya Taksi Online. , puas sekali nginep di sini, walaupun ada beberapa yang jadi catatan kecil seperti yang udah disebutkan di atas.Semoga makin oke lagi ke depannya, sukses selalu Aveta Hotel Malioboro, terima kasih 🙏🏻😁",Positif
5/5,"Pertama kali menginap di Yogyakarta langsung ingin ke hotel Aveta. Tempatnya sangat strategis, di tengah malioboro. buka lobby hotel langsung malioboro.Stafnya sangat ramah. Kamar bersih dan luas. Kamar mandi luas dan lengkap peralatan mandinya. Betah banget di kamar hotel ini.Saya request kue ultah, dan beneran dikasih. Snack, minuman dan buah di kulkas semua gratis.Menu sarapan juga bervariasi dan rasanya enak.Hotel ini rekomended banget.",Positif
5/5,"Hotelnya bagus, dekat dengan malioboro tepat di samping mall dan banyak penjual makanan khas jogja, sarapannya enak, kamarnya baguss dan pelayanannya juga good dibantu selama menginap sampai check out dengan mba silvia, mba risa, dan mas isah. pokoknya recommended buat yng mau liburan ke jogja buat nginep di hotel aveta ini",Positif
5/5,"hotel yang sangat sangat dekatt malioboro pelayanan disini juga ramah murah senyum terus banyak makanan di area hotel, mantab pokoknya receptiont ada di lantai 8 agak unik si baik baik juga dibantu check out dengan mba risa dan mba silvia",Positif
5/5,"Pas di pinggir jalan malioboro, bersebelahan dengan plaza nya...lokasi mudah ditemukan dan banyak pilihan belanja...walau area parkir tidak terlalu besar, tapi petugas hotel sangat gerak cepat untuk membantu...room service nya juga gercep untuk membantu...jika mengunjungi malioboro, disini aja nginapnya..",Positif
5/5,"Selamat pagi...2hari 2 malam staycation disini..semua request saya di approve,pelayanannya best best best sampai kata anak saya ini mah bintang 7 🥰Biasanya tiap kita ke Jogja pilihannya hanya no***** ,la***** atau the r*** hotel..Sekarang request anak anak kalau ke Jogja wajib stay aveta lagi💕Terima kasih aveta hotel atas semua pelayanan dan keramahannya☺️🙏",Positif
5/5,"TOP SEPESIAL 👍💚Kamar tidur n kamar mandi, AC dingin banget 😁Aminitise lengkap, kopi kurang kremer 😊 Air mineral ambil sendiri dilorong yaa 🫣 minimalisir sampah plastik tapi yaa males klau air ambil sendiri di lorong kudu bolak balik ambil air All Staff ramah semua n helpfull Varian menu sarapan lumayan beragam n lengkap Lupa poto2 kamar 😁",Positif
5/5,"Jalan kaki 10 mnt dr stasiun KA. Hotel di tengah2 sepanjang perbelanjaan Jln Malioboro. Sdh jelas dan mudah utk akses ke sisi utara (alun2) dan selatan (tugu). Sahur dan iftar nya di luar ekspektasi, sehat dan enak.",Positif
5/5,"sangat strategis, keluar hotel langsung jalan malioboro. hotel nya nyaman, staff resepsionis nya ramah sangat membantu sekali terimakasih ka danisha.",Positif
5/5,"Hotelnya bagus, nyaman. Lokasinya strategis mau jalan2 ke malioboro tinggal melangkah buka pintu, sangat rekomend deh...",Positif
1/5,"Mati listrik sampai 20 menit, tidak ada penjelasan apapun dari pihak hotel, pelayanan tidak memuaskan.",Negatif
5/5,"Hotelnya nyaman dan bersih, tetapi lobi dan resepsionisnya kurang bagus karena hotelnya bintang 3.Kamarnya bersih.. Kamar mandinya juga bersih.Saya sangat suka kamar mandi dan kamar tidurnya. Akses ke hotelnya agak sulit dan area parkirnya sangat sempit.Sarapannya kurang enak..Sebenarnya... Saya suka hotel ini, mungkin lain kali akan kembali ke sini.",Positif
5/5,"Kamarnya nyaman, breakfastnya enak-enak, pelayanan kak danisha dan silvi yang ramah bikin betah... wajib kunjung kesini kalau di maliobro",Positif
5/5,"Pertama kali menginap di aveta bareng keluarga jadi tambah seru. dekat jalan malioboro, mau beli oleh oleh juga sangat dekat. resepsionis nya ramah ramah, makasih ka danisha yang sudah membantu. liburan selanjutnya wajib menginap disini lagi",Positif
5/5,"Hotelnya wangi banget, depan malioboro pas, sebelah Plaza Malioboro. Jd aman banget gak bakal merasakan macet menuju malioboro, pagi banyak org jual makanan depan hotel, jd kalo gak dapat sarapan pun aman.",Positif
5/5,"Lokasinya sangatt strategis bngettt, pelayanannya ramah baik, kamarny juga bersih bangettt. Thankyouuuu aveta hotell🙌🏻",Positif
5/5,"strategis bangett sii ini mah keluar hotel udah langsung Malioboro, kamar jugaa bersih luas nengok dari balcon udah view Malioboro, makanan makanan juga enak enak, gudeg nya juara, semua staff yang sama temui juga ramah ramah, dan terimakasih mba Silvia mba denisa sudah dibantu dari check in sampai check out ketemu lagi 🤍",Positif
5/5,"Kesan Nginep 3 mlm d aveta d kmr 501 tgl 2 - 5 jan'25 sangat sangat sangat memuaskan baik dr kamar yg bersih,wangi dan nyaman pelayanannya jg sangat responsif dan solutif..bahkan ada kendala ktinggalan brg pun pihak hotel amat sangat membantu utk pengiriman via ekspedisi k almt rmh..sangat berterimakasih tentunya utk fo dan security utk parkiran mbl yg effort nya luar biasa menangani keruwetan tmpt parkir hotel yg relatif krg luas, ini minus nya utk aveta wlpn ada gudang parkir d tmpt lain tp kejauhan jd kalo ada keperluan bolak balik mbl agak ribet ya ksian bgt bpk2 security smpe jln bolak balik yg lumayan tergolong jauh utk taro mbl d gudang..kalo lokasi hotel strategis bgt ya pas d jln malioboro n smpg mall..mau cari mkn n oleh2 jd gmpg...next k jogja lg udh pasti aveta akn pilihan pertama plhn hotel kami",Positif
5/5,"terimakasih untuk pelayangan nya sangat bagus dan untuk resapsionisnya ramah terimakaish juga untuk kak febi dan kak silvi dan kak resa , untuk makananya juga enak2 kamar nya juga bersih ,",Positif
5/5,"Sudah mengincar hotel ini selama setahun. Terakhir kali ke Jogja, saya hendak memesan kamar di sini karena lokasinya sangat strategis. Namun harganya sangat mahal untuk kamar superior sekitar 1juta++ per malam.Jadi saya datang ke sini lagi tahun ini dan sayangnya harga kamar pada tanggal perjalanan saya agak murah. Saya memesan sebulan sebelumnya untuk 4 kamar.Saya meminta 1 kamar tidur queen, 1 kamar tidur queen+tempat tidur bayi, 2 kamar tidur twin. Stafnya sangat ramah. Kami check in agak lambat sekitar pukul 8 malam dan sangat energik. Tanya jawab yang sama berulang kali tetapi staff nya tetap tersenyum dan menjawab pertanyaan kami yang berulang. Terima kasih banyak.Kamar luas, superior tetapi dapat menampung 3 orang. Menu sarapan lezat.Jalan Malioboro selang berapa langkap dari pintu hotel. Sangat dekat. Ingin menginap lagi.",Positif
5/5,"Lokasi strategis , datang langsung disambut petugas tuk diambil alih parkir ,pegawai cekatan, ramah, jujur di telp customer servis hp ketinggalan , cek in & cek out cepat, kamar luas lega bersih nyaman, menu sarapan enak dan variatif cocok tuk lidah kita org Solo",Positif
5/5,"Ke sini karena mengikuti pertemuan di ruang pertemuan lt 8.kalo pesertanya lebih dri 50 sepertinya kurang representatif ruangannya.nilai plusnya adalah makanannya enak2,tidak hambar.plus karyawannya ramah2.lokasi stategis di sebelah plaza malioboro",Positif
5/5,"Pengalaman menginap yang menyenangkan! Terimakasih untuk mbak Feby dan Silvi yang sudah membantu proses check in & check out mudah :)
Kamar luas dan nyaman, breakfast enak, dan dekat sekali dengan Malioboro.
Akan kembali lagi jika mengunjungi Yogyakarta.",Positif
5/5,"Penginapan ini sangat memuaskan, akses pintu yang canggih, kemudahan checkin dan checkout, dan lokasi yang strategis Sarapannya juga enak Staf di hotel ini sangat ramah dan membantu selama kami menginap ""Hotel ini sangat bersih, dengan fasilitas yang baik",Positif
5/5,"Pertama menginap disini bener bener seru kamarnya wangi luas disediakan movie room untuk anak anak bener bener seru, deket sama mana mana banyak pusat makanan, staff receptionist ramah ramah saya dapat kamar sesuai request banyak pertanyaannya pun dijawab sabar thankyou mba receptionist",Positif
5/5,"Nyaman, enak buat staycation bareng siapapun, sarapannya mantab, kasur empuk, fasilitas bagus, mewah, lokasi strategis, keluar hotel bisa langsung jalan jalan ke malioboro, joss lah pokoknya, next kalo ke Malioboro lagi bakal kesini lagi",Positif
5/5,"Hotelnya bersih, deket bgt sm Malioboro. Pelayanan jg ramah, sm mbak Risa & Danisa.",Positif
5/5,"Top begete lah hotelnya. Aku di exekutip kamar luas 32 m2. Kamar bersih ada balkon, anak2 senang. Kolam dan tempat sarapan di lantai 8. Bersih dan enak dilihat👍🏻👍🏻",Positif
5/5,"Hotelnya bersih,bagus. Pelayanan juga ramah. Resepsionis ada di lantai 8. Lokasi strategis ada di malioboro. Keluar hotel langsung akses Malioboro. Pokoknya recommended. Besok klo ke Jogja wajib nginep sini lagi.",Positif
5/5,"Hotel yg selangkah langsung jl. Malioboro tempat tidur nyaman dan bersih. Breakfast macam e banyak ada mesin es cream, popcorn dan cotton candy",Positif
5/5,"excellent service, delicious foods, fast response and responsibility|about responsibility is the best||Ban mobil saya bocor pada saat valet langsung diganti karena saya tidak membawa ban cadangan sehingga jadwal saya tetap on schedule",Positif
5/5,"hotel yang sangat bagus untuk menu sarapan, kamar, dan lokasi. kami menginap 2 malam pada 2-4 Februari 2025 di 711.tetapi kami memiliki semprotan dudukan toilet yang tidak berada pada posisi yang baik 😄.bagaimanapun juga yang lainnya luar biasa",Positif
5/5,"Rencana bulan depan mau menginap disini, ini parkir mobilnya gmn atau sebelah mana ya?",Negatif
5/5,"Lokasi pinggir jalan Malioboro, tepat di samping Mal Malioboro.Kamar dan overal hotel bersih.Staff hotel super ramah dan helpful Breakfast bervariasi dari tradisional hingga western food.Di lantai dasar ada cafetaria yang murah dan enak.Cons akses mobil sempit room boy tidak memeriksa kalau shower gel di bathroom sudah habis. :-)",Positif
1/5,"Peraturan Hotel payah, pesan ada balkoni supaya bisa smoking ternyata tetap no smoking. Baru kali ini ketemu hotel outdoor balkoni nya no smoking.",Negatif
5/5,"Pelayanan di hotel sangat memuaskan.
Staff seluruhnya sangat ramah dari mulai check in sampai dengan check out.
Pengalaman yang sangat menyenangkan selama berada disini.",Positif
5/5,"Hotel paling Deket ke Malioboro..jalan hy 10 langkah langs sampai..samping hotel ada mall Malioboro,Deket ke pasar Beringharjo..Yg jelas kamar nya bersih banget,amenities selalu full diisi,pelayanannya oke banget..lokasi super strategis di ring 1 jogjakarta..thank you Aveta Hotel.. thanks for the Hospitality during my holiday..God Bless❤️",Positif
5/5,Tempat strategis Layanan bagus Crew ramah Kamar nyaman Makanan enak...Next kesini lagi,Positif
5/5,"Lokasi nya sangat strategis, layanan nya oke cepat tanggap Terima kasih mba Febby dan mas Wahyu yang selalu fast respons..Ses you next time",Positif
5/5,"3 malam sy menginap di aveta. Lokasi tepat di jantung malioboro, keluar hotel lgsg disambut dg jalan malioboro. Pertama datang dibantu dg baik oleh security nya yg ramah dg membawakan koper sy. Proses check in mudah, kamar bagus nyaman bersih. Kamar mandipun bersih dg modern closet. Breakfast nya enak2 aplg ada menu gudeg tiap hari. Staff resto nya ramah2 sekali. Sonfar selama nginap disana ga ada masalah sm sekali n sgt puas. Pkoknya ini hotel recomended bgt😍😍",Positif
5/5,"Untuk pelayanan ramah2
Makan pagi juga enak2 cuman nasi goreng nasi ya masih ad yg blom mateng🙏
Untuk yg lain semua ok,nex ke Jogja saya nginep disini lgi😊hotel ya depan Malioboro tinggal Turun langsung ke Malioboro,sagat puasssss😊recomen",Positif
5/5,"Kamarnya Bersih, Sarapan Enak dan Lokasi Strategis di Pusat Malioboro serta Staff nya ramah-ramah sangat membantu, khususnya mba Dewanti yang sudah beberapa kali mngusahakan untuk memberikan kamar dgn view dan rate terbaik. Terima Kasih Aveta, I will come again in Jogjakarta yang berhati nyaman.",Positif
5/5,"Terimakasih mbak febby dan mas Wahyu atas bantuannya....hotelnya letaknya strategis di derah Malioboro dekat plaza Malioboro,hotelnya bersih,rapi dan harum , fasilitasnya kolam renangnya juga bagus .. recommended banget buat staycation di sini",Positif
5/5,"Pelayanan yang sangat memuaskan dan dekat dengan akses stasiun dan dekat dnegan wisata tamansari pasar bringharjo dan Malioboro, bisa di buat hotel langganan saat berkunjung ke jogja lagi, untuk pelayanan yang sangat menuaskan proses chekin chekout yang cepat dan trimakasih untuk kak febi dan wahyu sudah membantu pelayanan chekout kami",Positif
5/5,"Pelayanan oke banget recomend ramah sangat membantu
Salam terimakasih untuk receptionis kak danisha dan wahyu sangant ramah",Positif
1/5,"Saya merasa dipermainkan oleh pihak hotel layanannya tidak profesional, awalnya kami akan liburan di jogja lalu kami pesan hotel selama 2 hr tg 27-29 Nov 24 lewat traveloka kami memilih hotel yg aksesnya mudah kemana-mana setelah sampai di hotel kira2 pk 15.00 pihak receiption mengatakan kalo voucher hotel blm terbit kami disuruh menunggu padahl kami juga sudah memegang bukti/issued  tetap hrs menunggu pihak hotel menerima voucher dri traveloka, sebelumnya kami tidak pernah bermasalah menggunakan traveloka, liburan ke luar negeri pun menggunakan traveloka aman2 saja, akhirnya saya telpon pihak traveloka kalo saya blm bisa masuk kamar krn voucher blm terbentuk, akhirnya kami masih disuruh menunggu sampe pk 19.00 akhirnya kami bisa masuk kamar tapi pihak hotel meminta kami utk membayar karena kami telah melakukan cancled melalui traveloka pdhl tdk ada pemberitahuan sama sekali dari pihak traveloka atas pembatalan tersebut, sampe kamar kami membuka email dan ternyata pk 16.00 voucher hotel sudah terbentuk lalu kami konfirm lagi ke pihak traveloka bhw kami disuruh bayar cash akhirnya pihak traveloka mengirim email dan juga telpon kami hingga pk 23.00 bahwa semuanya sudah clear, besok paginya kami breakfast dan tidak ada pemberitahuan apa2, kami menitipkan koper krn harus downgrade room kami ikuti, akhirnya kami melakukan perjalanan dulu utk ziarah ke sendangsono, sesampainya di hotel pk 19.00 kami diinfo oleh petugas hotel yg sudah ganti bahwa kami tidak bisa menginap sebelum membayar yg kemarin malam…..Kami memutuskan utk pindah hotel dan membayar yg satu malam kemarin, ternyata tidak profesional sekali layanannya dan KAMI SANGAT KECEWA HANYA BERMALAM 2 HR KAMI DIPERSULIT, KAMI TIDAK AKAN PERNAH DATANG LAGI KE HOTEL AVETA DAN TIDAK AKAN MEREKOMENDASIKAN KE SIAPAPUN ATAS HOTEL INI",Negatif
5/5,"Kamar dan fasilitasnya bagus, terletak di bagian Malioboro yang paling ramai. Menu sarapannya cukup enak dan saya juga menikmati restoran di lantai bawah. Sangat direkomendasikan!",Positif
5/5,Pelayanannya sudah cukup hanya kamar mandi tidak pakai bidet,Positif
2/5,"Kirain buka pintu lobi langsung jl malioboro, ternyata harus masuk gang dulu.
Jam 15 lebih masih belum bisa check in, kamar belum siap. Layanan harusnya sebanding harga",Positif
5/5,"Tempatnya strategis banget di malioboro, harga perkamarnya affordable. Pelayanannya ramah dan cepat, cuma disayangkan wifi nya keputus terus, blm ada netflix sama youtube. Selain itu semuanya oke!",Positif
1/5,"dapat kamar yg konekting suara orang kamar sebelah ngak ada kedap sama sekali...
terdengar jelas seperti kita berada dalam satu kamar.....
terdengar keras banget orang sebelah lagi wikwik...",Negatif
5/5,"Kamarnya lumayan enak dan luas,ada 2 bed besar,ada free camilan,mesin kopi,kamar mandi lumayan luas dan peralatan mandi Ok",Positif
5/5,"Baru sekali nginep disini, tmp nya strategis bgt krn ditengah2 Malioboro. Breakfast nya enak2, pegawai ramah2.",Positif
5/5,"Lokasi tepat disamping mall mailoboro dan sangat strategis bisa jalan2 di jalan malioboro.. hotel nyaman, makanan enak-enak",Positif
5/5,"Hotel Aveta pelayanannya bagus, kamarnya jg bersih, kluar hotel bs lgsg jln2 d malioboro",Positif
5/5,"lokasi hotel pas di tengah malioboro
jadi pasti enak buat jalan jalan.
tapi lokasi parkir mobil agak sulit",Positif
5/5,Pelayanann ramah murah senyum kamar nyaman dan wangi pertama kali kesnni bener bener terkesan menyenangkan,Positif
5/5,"Sudah sering ke Malioboro Jogja, tp baru pertama menginap di hotel ini. Cukup bagus sesuai hotel bintang 3. Kamar yg luas sehingga untuk sholat di kamar cukup nyaman. Kamar mandi cukup baik sesuai standar hotel. Ada kursi 2 buah 1 kursi biasa dan 1 kursi untuk rebahan. Cuma untuk iar mineral tidak botolan tp harus mengambil di Dispencer di koridor hotel.",Positif
5/5,"Tempat strategis sekali, sangat nyaman, bersih, pelayanan oke, cocok buat liburan apalagi bawa ank kecil, jdi tdak repot jalan jauh untk ke malioboro.",Positif
4/5,"Roomnya luas, disediakan banyak kaca & cahayanya jg sekarang lebih terang gak redup. Compliment nya menyenangkan sekali! Sekarang servicenya better, lebih responsive lagi. Untuk kamar mandinya sekarang oke banget,  sekarang jg udh ada keran untuk wudhu huhu senang sekalii! flush toiletnya riskan rusak tapi nanti bisa dibantu diperbaiki. Harapannya bisa ada bidet supaya ada opsi untuk bisa bebersih lebih bersih lagi. TV nya sudah upgrade, dan wifi nya juga stabil sehingga nyaman untuk digunakan (no buffering)Kasurnya besar, selimutnya nyaman, tapi bantalnya masih kurang empuk.Lokasinya strategis dari Malioboro, parkirannya oke perlu valet dibantu satpam memarkirkan.- kalau bisa hanger untuk baju di kamar mandi ditambah, karena kesulitan menaruh barang(baju) apalagi kalau di kamar lebih dari 2 orang- semoga kedepannya untuk teh dan kopi bisa diganti secara berkala sebelum tamu selanjutnya menginap, khawatir exp karna harumnya berbeda dari yang seharusnya.",Positif
1/5,"Saya baru-baru ini menginap di hotel ini, dan itu benar-benar mimpi buruk dari awal hingga akhir. Kamarnya kotor, dengan jamur di langit-langit kamar mandi, permukaan yang berdebu, dan wewangian buatan yang sangat kuat yang jelas-jelas menutupi kurangnya pembersihan yang tepat. Ketika saya mengeluh, manajer meja depan sangat tidak profesional dan meremehkan, bahkan mengejek kekhawatiran saya.Mereka menunjukkan kepada kami kamar alternatif dengan dinding kuning dan kotor dan berjanji untuk mengecatnya ulang. Hasilnya? Kamar yang berbau asap cat baru, yang mereka harapkan akan kami terima. Kondisinya tidak hanya tidak menyenangkan tetapi juga sangat tidak sehat, dan sikap manajer meja depan memperburuk semuanya.Karena keluhan saya diabaikan, saya menghubungi Booking com untuk meminta bantuan, dan meskipun mereka berhasil menyelesaikan kompensasi, manajemen hotel membalas dengan menuntut kami check out pukul 11 ​​malam - sesuatu yang belum pernah saya alami sebelumnya! Akhirnya, kami tinggal sampai dini hari, hanya untuk melarikan diri dari tempat yang mengerikan ini.",Negatif
5/5,"Hotel nyaman untuk family krn ada swimming pool juga, lokasi strategis tinggal jalan kaki menyusuri Malioboro..",Positif
5/5,"Kami sangat senang menghabiskan waktu kami di sini.. pelayanan bagus, kamar bersih, kami bisa check-in lebih awal tergantung ketersediaan kamar.. Terima kasih Aveta..",Positif
5/5,"Hotel yg nyaman, tepat berada di pusat kota Jogja dan ikon Jogja : Malioboro. Tempat menginap yg pas bagi Anda yg ingin liburan dan menikmati kawasan Malioboro dan sekitarnya. Kamar hotel sangat nyaman, kebersihan hotel juga sangat baik. Secara umum puas dengan layanannya. Next time, kesini lagi.",Positif
5/5,"Hotel yang strategis di jalan malioboro, kamar nyaman, luas, ada pool untuk anak anak,sarapan enak banyak menu nya.",Positif
5/5,"happy stay in this hotel 🤩 pelayanan super ramah, thankyou kak silvia sudah dibantu from checkin til checkout, helpful sekalii 🙏🏼",Positif
4/5,"Risa Eki Isa ramah betul mantap, sama scurity parkir mobil, semuanya lah 👍",Positif
5/5,"Hotelnya deket bgt sm malioboro, hotel baru, fasilitas bagus, lebih keren lg kl ada ruang gym, toilet lebih enak pake semprotan cebok manual, makanan enaaak, overall oke, sesuai dgn harganya",Positif
4/5,"Hotel terbaik di Malioboro, tapi aksesnya agak repot untuk kendaraan kl hari2 besar karna macet",Positif
5/5,"Akomodasi bagus, keramahannya bagus, terutama Tuan Ali, dia sangat berbakat dan bersemangat dengan pekerjaannya, menyajikan makan malam yang enak dan menyenangkan",Positif
5/5,Hotel di pusat kota pertokoan jogja.. Tepatnya samping malioboro plaza dekat tempat bersejarah seperti keraton dan beteng Vandenberg,Positif
